time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160110:1910;0.0;0.0;0.0;0.0;-3.16;1.06;0.0
20160110:2010;0.0;0.0;0.0;0.0;-3.03;1.01;0.0
20160110:2110;0.0;0.0;0.0;0.0;-2.9;0.97;0.0
20160110:2210;0.0;0.0;0.0;0.0;-2.99;0.8;0.0
20160110:2310;0.0;0.0;0.0;0.0;-3.08;0.63;0.0
20160111:0010;0.0;0.0;0.0;0.0;-3.18;0.46;0.0
20160111:0110;0.0;0.0;0.0;0.0;-2.62;0.63;0.0
20160111:0210;0.0;0.0;0.0;0.0;-2.07;0.8;0.0
20160111:0310;0.0;0.0;0.0;0.0;-1.52;0.98;0.0
20160111:0410;0.0;0.0;0.0;0.0;-1.18;1.06;0.0
20160111:0510;0.0;0.0;0.0;0.0;-0.85;1.14;0.0
20160111:0610;0.0;0.0;0.0;0.0;-0.51;1.21;0.0
20160111:0710;0.0;0.0;0.0;0.0;-0.61;1.27;0.0
20160111:0810;0.0;21.0;0.0;7.8;-0.71;1.32;0.0
20160111:0910;3.0;79.0;0.0;14.78;-0.8;1.38;0.0
20160111:1010;241.01;202.0;0.0;19.82;-1.28;1.77;1.0
20160111:1110;205.01;95.0;0.0;22.44;-1.75;2.15;0.0
20160111:1210;28.0;113.0;0.0;22.36;-2.23;2.54;0.0
20160111:1310;0.0;49.0;0.0;19.59;-2.85;2.33;0.0
20160111:1410;0.0;66.0;0.0;14.42;-3.47;2.12;0.0
20160111:1510;0.0;35.0;0.0;7.35;-4.09;1.92;0.0
20160111:1610;0.0;0.0;0.0;0.0;-4.87;1.95;0.0
20160111:1710;0.0;0.0;0.0;0.0;-5.66;1.98;0.0
20160111:1810;0.0;0.0;0.0;0.0;-6.45;2.01;0.0
20160111:1910;0.0;0.0;0.0;0.0;-6.42;1.99;0.0
20160111:2010;0.0;0.0;0.0;0.0;-6.4;1.97;0.0
20160111:2110;0.0;0.0;0.0;0.0;-6.38;1.94;0.0
20160111:2210;0.0;0.0;0.0;0.0;-6.53;1.9;0.0
20160111:2310;0.0;0.0;0.0;0.0;-6.68;1.86;0.0
20160112:0010;0.0;0.0;0.0;0.0;-6.84;1.82;0.0
20160112:0110;0.0;0.0;0.0;0.0;-6.71;1.96;0.0
20160112:0210;0.0;0.0;0.0;0.0;-6.58;2.1;0.0
20160112:0310;0.0;0.0;0.0;0.0;-6.45;2.23;0.0
20160112:0410;0.0;0.0;0.0;0.0;-6.3;2.2;0.0
20160112:0510;0.0;0.0;0.0;0.0;-6.14;2.17;0.0
20160112:0610;0.0;0.0;0.0;0.0;-5.99;2.14;0.0
20160112:0710;0.0;0.0;0.0;0.0;-5.8;2.16;0.0
20160112:0810;0.0;56.0;0.0;7.89;-5.61;2.18;1.0
20160112:0910;67.0;37.0;0.0;14.88;-5.41;2.21;0.0
20160112:1010;60.0;47.0;0.0;19.95;-5.11;2.46;0.0
20160112:1110;86.0;9.0;0.0;22.6;-4.82;2.72;0.0
20160112:1210;191.01;29.0;0.0;22.53;-4.52;2.98;1.0
20160112:1310;0.0;54.0;0.0;19.77;-4.97;2.78;0.0
20160112:1410;0.0;79.0;0.0;14.61;-5.43;2.58;0.0
20160112:1510;0.0;27.0;0.0;7.53;-5.88;2.39;0.0
20160112:1610;0.0;0.0;0.0;0.0;-6.45;2.29;0.0
20160112:1710;0.0;0.0;0.0;0.0;-7.03;2.19;0.0
20160112:1810;0.0;0.0;0.0;0.0;-7.61;2.1;0.0
20160112:1910;0.0;0.0;0.0;0.0;-7.66;2.17;0.0
20160112:2010;0.0;0.0;0.0;0.0;-7.71;2.23;0.0
20160112:2110;0.0;0.0;0.0;0.0;-7.77;2.3;0.0
20160112:2210;0.0;0.0;0.0;0.0;-8.02;2.59;0.0
20160112:2310;0.0;0.0;0.0;0.0;-8.27;2.87;0.0
20160113:0010;0.0;0.0;0.0;0.0;-8.52;3.16;0.0
20160113:0110;0.0;0.0;0.0;0.0;-8.62;3.06;0.0
20160113:0210;0.0;0.0;0.0;0.0;-8.72;2.96;0.0
20160113:0310;0.0;0.0;0.0;0.0;-8.83;2.86;0.0
20160113:0410;0.0;0.0;0.0;0.0;-9.14;2.87;0.0
20160113:0510;0.0;0.0;0.0;0.0;-9.44;2.88;0.0
20160113:0610;0.0;0.0;0.0;0.0;-9.75;2.9;0.0
20160113:0710;0.0;0.0;0.0;0.0;-9.47;2.98;0.0
20160113:0810;0.0;18.0;0.0;7.98;-9.19;3.07;0.0
20160113:0910;26.0;23.0;0.0;15.0;-8.91;3.16;0.0
20160113:1010;3.0;40.0;0.0;20.08;-8.34;3.26;0.0
20160113:1110;12.0;80.0;0.0;22.75;-7.76;3.36;0.0
20160113:1210;2.0;31.0;0.0;22.71;-7.19;3.46;0.0
20160113:1310;0.0;172.0;0.0;19.95;-7.75;3.0;0.0
20160113:1410;0.0;97.0;0.0;14.79;-8.32;2.53;0.0
20160113:1510;0.0;18.0;0.0;7.72;-8.88;2.07;0.0
20160113:1610;0.0;0.0;0.0;0.0;-9.39;1.97;0.0
20160113:1710;0.0;0.0;0.0;0.0;-9.9;1.88;0.0
20160113:1810;0.0;0.0;0.0;0.0;-10.41;1.78;0.0
20160113:1910;0.0;0.0;0.0;0.0;-10.65;1.64;0.0
20160113:2010;0.0;0.0;0.0;0.0;-10.89;1.5;0.0
20160113:2110;0.0;0.0;0.0;0.0;-11.13;1.37;0.0
20160113:2210;0.0;0.0;0.0;0.0;-11.46;1.33;0.0
20160113:2310;0.0;0.0;0.0;0.0;-11.79;1.29;0.0
20160114:0010;0.0;0.0;0.0;0.0;-12.13;1.26;0.0
20160114:0110;0.0;0.0;0.0;0.0;-11.65;1.18;0.0
20160114:0210;0.0;0.0;0.0;0.0;-11.18;1.1;0.0
20160114:0310;0.0;0.0;0.0;0.0;-10.71;1.02;0.0
20160114:0410;0.0;0.0;0.0;0.0;-10.21;0.91;0.0
20160114:0510;0.0;0.0;0.0;0.0;-9.7;0.79;0.0
20160114:0610;0.0;0.0;0.0;0.0;-9.2;0.68;0.0
20160114:0710;0.0;0.0;0.0;0.0;-9.1;0.55;0.0
